Year,Stock/Flow ID,Layer 1,Layer 2,Layer 3,Layer 4,mean,sd,p2_5,p25,p50,p75,p97_5,deterministic
2040,ELV_shredded,Diesel,elvChassis,calAl_7xxx,,4532656.171502534,397036.6539171964,3760247.2935502864,4252736.170562872,4535540.281262172,4811245.998596978,5290502.397165827,4704676.112461471
2040,ELV_shredded,Diesel,elvChassis,calHSS,,73745340.52453834,6459700.920606339,61178414.29552264,69191102.34545282,73792264.36969382,78277937.0614033,86075335.53456122,76544067.94683532
2040,ELV_shredded,Diesel,elvChassis,calMagnesium,,1559973.8375807744,136645.43906186562,1294139.0608120786,1463635.6505312356,1560966.4422698384,1655854.227630175,1820796.6840999664,1619176.785539913
2040,ELV_shredded,Diesel,elvChassis,calUHSS,,29503862.03425155,2584381.9201116944,24476115.806242418,27681813.15697841,29522635.215631373,31317252.57431005,34436817.37856484,30623570.305331413
2040,ELV_shredded,Diesel,elvChassis,calcastAluminiumAlSiCu,,9064774.567858323,794026.2015821767,7520048.454090795,8504967.776973588,9070542.445193572,9621921.168870559,10580377.1048279,9408794.040540313
2040,ELV_shredded,Diesel,elvChassis,calcastAluminiumAlSiMg,,13599532.383473078,1191246.9483832072,11282039.251071732,12759675.80191842,13608185.707835134,14435397.984552003,15873332.534562929,14115651.557122799
2040,ELV_shredded,Diesel,elvClosures,calAHSS,,16341923.372817013,1430209.7068041707,13555189.823264016,15336541.703089204,16357118.532917619,17351289.328219727,19064994.383625805,16956911.26425018
2040,ELV_shredded,Diesel,elvClosures,calAHSS_DualPhase,,16348348.798150938,1430772.0461000586,13560519.542300723,15342571.825819906,16363549.932784922,17358111.622724622,19072490.48399961,16963578.494583894
2040,ELV_shredded,Diesel,elvClosures,calAl_5xxx,,17570494.046141796,1537731.548780667,14574256.447692934,16489528.713050315,17586831.564314347,18655743.19981742,20498283.015108768,18231716.158029173
2040,ELV_shredded,Diesel,elvClosures,calAl_6xxx,,7527652.856557959,658803.859208494,6243987.385475627,7064539.425819056,7534652.270747322,7992601.586530483,8781993.169230191,7810937.46462288
2040,ELV_shredded,Diesel,elvClosures,calHSS,,40863506.66585445,3576285.5175772076,33895189.51124467,38349517.36206246,40901502.653957814,43387458.804529496,47672633.58826264,42401303.73096619
2040,ELV_shredded,Diesel,elvClosures,calMagnesium,,864272.2254278868,75639.23155975057,716890.7727310156,811100.7943009108,865075.848999989,917654.3727214015,1008286.7694211982,896796.9742848217
2040,ELV_shredded,Diesel,elvClosures,calOthers,,8175463.184604025,715498.8147655993,6781328.7843921045,7672495.410259448,8183064.950268484,8680424.199285682,9537748.77914798,8483126.533078194
2040,ELV_shredded,Diesel,elvDriveline,calAl_6xxx,,757309.7937461865,107177.4480336403,548363.0303281719,682071.5722694175,758298.2107197305,833390.0209740255,961522.3399962151,803441.8321853637
2040,ELV_shredded,Diesel,elvDriveline,calAl_7xxx,,756840.6839152661,107111.05777308812,548023.3509914401,681649.0681864317,757828.4886213825,832873.7838210687,960926.7322461681,802944.1462117196
2040,ELV_shredded,Diesel,elvDriveline,calMagnesium,,260626.46596647133,36884.878213624004,188717.90625356088,234733.40089452403,260966.62744971545,286809.3054280237,330905.7554655285,276502.7034659982
2040,ELV_shredded,Diesel,elvDriveline,calalloySteel,,4929804.182302547,697685.1955803913,3569638.7167520807,4440031.434124551,4936238.407992316,5425058.073742423,6259151.660567762,5230106.539295197
